origin,destination,depart_date,gate,price_eur_new,price_eur_old,price_diff,change_pct,route,change_type
BCN,LAX,2025-07-24,Lufthansa,582,582,0,0.0,BCN → LAX,Stable (±1%)
BCN,LAX,2025-07-11,Lufthansa,584,580,4,0.6896551724137931,BCN → LAX,Stable (±1%)
BCN,LAX,2025-07-24,Lufthansa,586,578,8,1.384083044982699,BCN → LAX,Minor Increase (1-5%)
BCN,LAX,2025-07-24,Lufthansa,586,582,4,0.6872852233676976,BCN → LAX,Stable (±1%)
BCN,LAX,2025-08-06,OneTwoTrip,593,589,4,0.6791171477079796,BCN → LAX,Stable (±1%)
BCN,LAX,2025-06-27,Biletix,597,593,4,0.6745362563237773,BCN → LAX,Stable (±1%)
BCN,LAX,2025-06-23,Kupi.com,601,597,4,0.6700167504187605,BCN → LAX,Stable (±1%)
BCN,LAX,2025-07-25,Lufthansa,604,600,4,0.6666666666666667,BCN → LAX,Stable (±1%)
BCN,LAX,2025-07-15,Авиасейлс,618,613,5,0.8156606851549755,BCN → LAX,Stable (±1%)
BCN,LAX,2025-08-09,Kupi.com,648,643,5,0.7776049766718507,BCN → LAX,Stable (±1%)
BCN,LAX,2025-08-08,City.Travel,651,646,5,0.7739938080495357,BCN → LAX,Stable (±1%)
BCN,LAX,2025-08-10,Kupi.com,669,664,5,0.7530120481927711,BCN → LAX,Stable (±1%)
BCN,LAX,2025-06-20,Aviakassa,840,834,6,0.7194244604316548,BCN → LAX,Stable (±1%)
IST,BUE,2026-03-25,Kupi.com,928,922,6,0.6507592190889371,IST → BUE,Stable (±1%)
IST,BUE,2026-02-13,Kupi.com,940,934,6,0.6423982869379015,IST → BUE,Stable (±1%)
IST,BUE,2026-02-03,Авиасейлс,962,955,7,0.7329842931937173,IST → BUE,Stable (±1%)
IST,BUE,2026-02-02,Авиасейлс,970,964,6,0.6224066390041494,IST → BUE,Stable (±1%)
IST,BUE,2026-02-02,Авиасейлс,970,970,0,0.0,IST → BUE,Stable (±1%)
IST,BUE,2025-11-13,Авиасейлс,971,965,6,0.6217616580310881,IST → BUE,Stable (±1%)
IST,BUE,2025-06-19,Biletix,976,970,6,0.6185567010309279,IST → BUE,Stable (±1%)
