depart_date,origin,destination,gate,return_date,found_at,trip_class,price_eur,number_of_changes,duration,distance,show_to_affiliates,actual
2025-11-12,IST,BCN,Aviakassa,2025-11-26,2025-06-13T02:20:56,0,152,1,2085,2230,True,True
2026-02-06,IST,BCN,Kupi.com,2026-02-09,2025-06-16T01:30:08,0,157,0,435,2230,True,True
2026-01-30,IST,BCN,Kupi.com,2026-02-04,2025-06-16T01:30:09,0,157,0,435,2230,True,True
2026-02-01,IST,BCN,Kupi.com,2026-02-04,2025-06-16T01:30:10,0,157,0,435,2230,True,True
2026-02-02,IST,BCN,Kupi.com,2026-02-08,2025-06-14T12:39:58,0,157,0,435,2230,True,True
2025-11-12,IST,BCN,Aviakassa,2025-11-16,2025-06-15T21:33:53,0,157,1,3175,2230,True,True
2026-02-04,IST,BCN,Kupi.com,2026-02-16,2025-06-16T04:53:05,0,157,0,435,2230,True,True
2026-02-05,IST,BCN,Kupi.com,2026-02-09,2025-06-16T01:42:02,0,158,0,435,2230,True,True
2026-01-31,IST,BCN,Kupi.com,2026-02-09,2025-06-16T01:42:04,0,158,0,435,2230,True,True
2026-02-01,IST,BCN,Kupi.com,2026-02-10,2025-06-16T01:42:03,0,158,0,435,2230,True,True
2026-02-05,IST,BCN,Kupi.com,2026-02-08,2025-06-16T04:53:03,0,158,0,435,2230,True,True
2026-01-30,IST,BCN,Kupi.com,2026-02-08,2025-06-16T04:53:03,0,158,0,435,2230,True,True
2025-11-17,IST,BCN,Aviakassa,2025-11-26,2025-06-13T07:59:03,0,158,1,1935,2230,True,True
2026-01-29,IST,BCN,Aviakassa,2026-02-01,2025-06-16T01:30:09,0,158,1,2580,2230,True,True
2025-12-18,IST,BCN,Aviakassa,2026-01-16,2025-06-12T14:12:53,0,159,1,1025,2230,True,True
2026-01-30,IST,BCN,Aviakassa,2026-02-01,2025-06-16T01:42:02,0,160,1,2575,2230,True,True
2026-01-20,IST,BCN,Aviakassa,2026-01-30,2025-06-16T00:01:59,0,161,1,2180,2230,True,True
2025-11-26,IST,BCN,Aviakassa,2025-12-03,2025-06-18T06:32:27,0,161,1,2390,2230,True,True
2025-10-15,IST,BCN,Aviakassa,2025-10-22,2025-06-12T16:21:38,0,161,2,4290,2272,True,True
2025-11-12,IST,BCN,Aviakassa,2025-11-21,2025-06-16T06:52:21,0,162,1,2730,2230,True,True
2025-10-08,IST,BCN,City.Travel,2025-10-15,2025-06-17T13:44:46,0,163,2,3135,2230,True,True
2026-01-24,IST,BCN,Aviakassa,2026-01-27,2025-06-18T16:33:34,0,164,1,1530,2230,True,True
2025-10-08,IST,BCN,City.Travel,2025-10-22,2025-06-17T01:47:08,0,164,2,3135,2230,True,True
2025-10-08,IST,BCN,Aviakassa,2025-10-20,2025-06-17T16:24:40,0,165,2,3485,2230,True,True
2026-03-06,IST,BCN,Aviakassa,2026-03-10,2025-06-12T15:22:06,0,165,0,435,2230,True,True
2026-02-24,IST,BCN,Aviakassa,2026-03-08,2025-06-12T15:57:28,0,165,0,435,2230,True,True
2025-11-27,IST,BCN,Aviakassa,2025-12-02,2025-06-12T08:59:46,0,166,1,1675,2230,True,True
2025-10-19,IST,BCN,Aviakassa,2025-10-23,2025-06-16T23:34:28,0,166,2,3545,2272,True,True
2025-11-17,IST,BCN,Aviakassa,2025-11-23,2025-06-16T15:08:17,0,166,1,2985,2230,True,True
2025-10-07,IST,BCN,Aviakassa,2025-10-22,2025-06-18T16:13:22,0,166,2,3660,2230,True,True
