depart_date,origin,destination,gate,return_date,found_at,trip_class,price_eur,number_of_changes,duration,distance,show_to_affiliates,actual
2025-07-15,BCN,FRA,City.Travel,2025-07-16,2025-06-14T14:49:11,0,110,1,710,1041,True,True
2025-07-08,BCN,FRA,Kiwi.com,2025-07-09,2025-06-11T16:54:36,0,115,1,670,1041,True,True
2025-07-05,BCN,FRA,City.Travel,2025-07-06,2025-06-14T11:44:47,0,185,1,1265,1041,True,True
2025-07-09,BCN,FRA,MEGO.travel,2025-07-20,2025-06-14T17:31:01,0,208,1,2535,1094,True,True
2025-06-21,BCN,FRA,Kupi.com,2025-06-25,2025-06-17T10:10:28,0,248,0,255,1094,True,True
2025-07-03,BCN,FRA,Kiwi.com,2025-07-03,2025-06-17T14:14:27,0,254,1,585,1094,True,True
2025-08-15,BCN,FRA,Aviakassa,2025-08-17,2025-06-14T07:13:25,0,268,1,970,1094,True,True
