depart_date,origin,destination,gate,return_date,found_at,trip_class,price_eur,number_of_changes,duration,distance,show_to_affiliates,actual
2025-10-24,IST,TYO,City.Travel,2025-11-02,2025-06-12T13:51:27,0,592,1,2360,8995,True,True
2026-04-12,IST,TYO,Kupi.com,2026-04-22,2025-06-18T03:00:01,0,629,1,2715,8995,True,True
2026-04-26,IST,TYO,Kupi.com,2026-05-06,2025-06-18T03:01:07,0,629,1,2715,8995,True,True
2026-04-26,IST,TYO,Kupi.com,2026-05-11,2025-06-18T03:18:03,0,629,1,2715,8995,True,True
2026-04-26,IST,TYO,Kupi.com,2026-05-09,2025-06-19T01:25:31,0,629,1,2715,8995,True,True
2025-11-02,IST,TYO,Kupi.com,2025-11-10,2025-06-12T15:13:55,0,630,1,2710,8995,True,True
2025-09-04,IST,TYO,Trip.com,2025-09-17,2025-06-16T14:38:35,0,636,1,2715,8995,True,True
2025-09-07,IST,TYO,Kupi.com,2025-09-17,2025-06-17T02:47:31,0,639,1,2715,8995,True,True
2025-11-02,IST,TYO,Kupi.com,2025-11-15,2025-06-15T21:35:38,0,641,1,2710,8995,True,True
2025-10-30,IST,TYO,Kupi.com,2025-11-15,2025-06-12T12:13:15,0,651,1,2710,8995,True,True
2025-08-11,IST,TYO,SuperKassa,2025-08-21,2025-06-15T11:12:43,0,652,1,2305,8995,True,True
2025-07-24,IST,TYO,City.Travel,2025-07-31,2025-06-13T11:51:58,0,661,1,2150,8995,True,True
2025-06-25,IST,TYO,City.Travel,2025-07-02,2025-06-12T09:31:22,0,669,1,2285,8995,True,True
2025-09-02,IST,TYO,Kupi.com,2025-09-13,2025-06-14T12:36:11,0,689,1,2715,8995,True,True
2025-12-25,IST,TYO,Kupi.com,2026-01-03,2025-06-13T19:44:30,0,689,1,2710,8995,True,True
2025-09-21,IST,TYO,Kupi.com,2025-10-04,2025-06-16T11:15:39,0,696,1,2715,8995,True,True
2026-03-30,IST,TYO,City.Travel,2026-04-12,2025-06-17T14:28:25,0,697,1,2230,8995,True,True
2025-09-11,IST,TYO,Kupi.com,2025-09-20,2025-06-16T17:01:05,0,700,1,2715,8995,True,True
2025-10-02,IST,TYO,Kupi.com,2025-10-11,2025-06-18T21:16:42,0,708,1,2715,8995,True,True
2025-09-28,IST,TYO,Kupi.com,2025-10-08,2025-06-16T11:14:04,0,713,1,2715,8995,True,True
2025-08-28,IST,TYO,Trip.com,2025-09-11,2025-06-16T14:10:34,0,715,2,3450,8995,True,True
2025-11-04,IST,TYO,Aviakassa,2025-11-18,2025-06-15T12:31:46,0,718,2,4460,8968,True,True
2025-10-05,IST,TYO,Kupi.com,2025-10-15,2025-06-12T20:48:43,0,719,1,2715,8995,True,True
2025-11-06,IST,TYO,Kupi.com,2025-11-09,2025-06-12T17:02:24,0,720,1,2180,8995,True,True
2025-08-08,IST,TYO,OneTwoTrip,2025-08-15,2025-06-12T09:11:40,0,721,1,2670,8995,True,True
2025-11-06,IST,TYO,Kupi.com,2025-11-13,2025-06-14T07:41:10,0,724,1,2180,8995,True,True
2025-09-19,IST,TYO,Aviakassa,2025-09-22,2025-06-13T05:11:48,0,724,2,4285,8995,True,True
2025-11-03,IST,TYO,Trip.com,2025-11-09,2025-06-15T08:29:51,0,727,1,2270,8995,True,True
2025-10-19,IST,TYO,MEGO.travel,2025-11-06,2025-06-16T03:11:56,0,727,1,2400,8995,True,True
2025-08-08,IST,TYO,OneTwoTrip,2025-08-29,2025-06-15T18:41:12,0,728,1,2670,8995,True,True
